h,factor,decile,mean_fwd_ret,excess_ret,n,median_mcap,median_talent,median_energy
20,주가위치,9,0.014141189568470837,0.011118971441497384,20.0,2619890964052.2173,0.023927875243664718,3.8013743725616944
20,주가위치,10,0.0230290306655039,0.020006812538530448,20.0,2995609595923.924,0.02443957115009747,3.7103277504078127
20,talent,1,-0.006357493192654059,-0.009379711319627513,20.0,3715312227677.6484,0.00533625730994152,2.223828590768489
20,talent,2,0.01492012836615328,0.011897910239179828,20.0,15221052793974.281,0.003167641325536062,0.9492074182361719
20,talent,3,0.010155673346308836,0.0071334552193353835,20.0,7035097604971.433,0.005628654970760234,1.1317178450743992
20,talent,4,0.0024053403145762537,-0.0006168778123972003,20.0,4511704225494.187,0.014887914230019493,2.2717886293304774
20,talent,5,0.0062196864959428435,0.00319746836896939,20.0,4063883733788.3887,0.020321637426900584,2.8577376198875744
20,talent,6,0.0092358992236768,0.006213681096703345,20.0,2506201383492.5874,0.026437621832358673,3.4976213239436524
20,talent,7,0.008132953321306594,0.0051107351943331415,20.0,1986218445607.1787,0.031140350877192982,3.4591402567086655
20,talent,8,0.007574372434214353,0.0045521543072408995,20.0,1642519552677.6282,0.039546783625731,4.412145933388114
20,talent,9,-0.009695502757969383,-0.012717720884942838,20.0,1100567627677.8508,0.05526315789473684,5.488732141180116
20,talent,10,-0.01236887628182098,-0.015391094408794437,20.0,856364600036.9543,0.08228557504873293,7.378016988627807
50,에너지배율,1,0.027861150308253098,0.0034578198125013704,20.0,10356139857735.719,0.008661616161616162,0.3118971017833158
50,에너지배율,2,0.03899557882507961,0.01459224832932789,20.0,7439283972139.326,0.010176767676767676,0.5436127647849837
50,에너지배율,3,0.04276176080272441,0.01835843030697268,20.0,5260550099644.224,0.01345959595959596,0.8402601447608236
50,에너지배율,4,0.038888915236602976,0.01448558474085125,20.0,4153944410752.867,0.01595959595959596,1.2805777447626767
50,에너지배율,5,0.038133606318973015,0.013730275823221283,20.0,2943002349149.1934,0.018585858585858588,1.9661070022958373
50,에너지배율,6,0.03123691226325896,0.006833581767507227,20.0,2120130168829.329,0.02176767676767677,3.0650041024815056
50,에너지배율,7,0.022400243002529324,-0.002003087493222405,20.0,1595350579687.1826,0.024015151515151514,4.966228246376869
50,에너지배율,8,0.012774281733174783,-0.011629048762576944,20.0,1081649384102.287,0.026111111111111113,8.55000842180142
50,에너지배율,9,-0.00921794216700115,-0.03362127266275288,20.0,577402156317.4211,0.029823232323232324,17.26397901101359
50,에너지배율,10,0.00019879863392223863,-0.02420453186182949,20.0,222315278901.20416,0.03305555555555555,47.83689171604005
50,RS,1,-0.0041260282837575525,-0.02852935877950928,20.0,4288268390441.1577,0.009823232323232324,0.9428741795385843
50,RS,2,-0.0106097174572538,-0.035013047953005534,20.0,2828379733162.58,0.011338383838383839,1.7214494868961927
50,RS,3,-0.004929552606514441,-0.029332883102266172,20.0,2339204997729.448,0.013661616161616163,2.1513620178740065
50,RS,4,0.022243141188811703,-0.0021601893069400253,20.0,2385552015976.5386,0.016742424242424243,1.8846949781002904
50,RS,5,0.029198047750687583,0.004794717254935856,20.0,2227455883946.179,0.017954545454545456,2.029768725798796
50,RS,6,0.03641235260766027,0.01200902211190854,20.0,2151683222406.1465,0.01952020202020202,2.284708921723367
